-1.955,0.147,0.500,1.192
-1.955,0.147,0.500,0.000
-1.947,0.759,0.500,1.192
-1.947,0.759,0.500,0.000
-1.940,1.372,0.500,1.192
-1.940,1.372,0.500,0.000
-1.933,1.984,0.500,1.192
-1.933,1.984,0.500,0.000
-1.926,2.596,0.500,1.192
-1.926,2.596,0.500,0.000
-1.919,3.209,0.500,1.192
-1.919,3.209,0.500,0.000
-1.912,3.821,0.500,1.192
-1.912,3.821,0.500,0.000
-1.905,4.433,0.500,1.192
-1.905,4.433,0.500,0.000
-1.355,0.109,0.500,1.192
-1.355,0.109,0.500,0.000
-1.305,4.395,0.500,1.192
-1.305,4.395,0.500,0.000
-0.756,0.071,0.500,1.192
-0.756,0.071,0.500,0.000
-0.706,4.357,0.500,1.192
-0.706,4.357,0.500,0.000
-0.156,0.033,0.500,1.192
-0.156,0.033,0.500,0.000
-0.106,4.319,0.500,1.192
-0.106,4.319,0.500,0.000
0.443,-0.005,0.500,1.192
0.443,-0.005,0.500,0.000
0.493,4.281,0.500,1.192
0.493,4.281,0.500,0.000
1.042,-0.043,0.500,1.192
1.042,-0.043,0.500,0.000
1.092,4.243,0.500,1.192
1.092,4.243,0.500,0.000
1.642,-0.081,0.500,1.192
1.642,-0.081,0.500,0.000
1.692,4.205,0.500,1.192
1.692,4.205,0.500,0.000
2.241,-0.119,0.500,1.192
2.241,-0.119,0.500,0.000
2.248,0.493,0.500,1.192
2.248,0.493,0.500,0.000
2.256,1.105,0.500,1.192
2.256,1.105,0.500,0.000
2.263,1.718,0.500,1.192
2.263,1.718,0.500,0.000
2.270,2.330,0.500,1.192
2.270,2.330,0.500,0.000
2.277,2.942,0.500,1.192
2.277,2.942,0.500,0.000
2.284,3.555,0.500,1.192
2.284,3.555,0.500,0.000
2.291,4.167,0.500,1.192
2.291,4.167,0.500,0.000
